origem,destino,tipo_conexao,justificativa,peso
Mueslis,Plain yogurts,cafe_da_manha,pão com laticínio,213.7
Mueslis,Low-fat yogurts,cafe_da_manha,pão com laticínio,203.1
Mueslis,Milks,cafe_da_manha,pão com laticínio,238.7
Mueslis,UHT Milks,cafe_da_manha,pão com laticínio,211.5
Mueslis,Grated cheese,cafe_da_manha,pão com laticínio,383.6
Mueslis,Cow cheeses,cafe_da_manha,pão com laticínio,322.0
Mueslis,Ricotta,cafe_da_manha,pão com laticínio,251.9
Mueslis,Condensed milks,cafe_da_manha,pão com laticínio,326.0
Mueslis,Milk jams,cafe_da_manha,pão com laticínio,326.4
Mueslis,Dairies,cafe_da_manha,pão com laticínio,275.8
Mueslis,Dairy drinks,cafe_da_manha,pão com laticínio,210.7
Breads,Jams,cafe_da_manha,pão com pasta ou cobertura,226.3
Breads,Butters,cafe_da_manha,pão com pasta ou cobertura,469.9
Breads,Peanut butters,cafe_da_manha,pão com pasta ou cobertura,366.9
Breads,Honeys,cafe_da_manha,pão com pasta ou cobertura,269.8
Breads,Margarines,cafe_da_manha,pão com pasta ou cobertura,390.6
Breads,Sweet spreads,cafe_da_manha,pão com pasta ou cobertura,231.6
Breads,Unsalted butters,cafe_da_manha,pão com pasta ou cobertura,389.4
Breads,Milk powders,cafe_da_manha,pão com pasta ou cobertura,339.4
Breads,Cocoa and chocolate powders,cafe_da_manha,pão com pasta ou cobertura,288.4
Breads,Chocolate-powders,cafe_da_manha,pão com pasta ou cobertura,243.7
Sliced breads,Jams,cafe_da_manha,pão com pasta ou cobertura,219.3
Sliced breads,Butters,cafe_da_manha,pão com pasta ou cobertura,462.9
Sliced breads,Peanut butters,cafe_da_manha,pão com pasta ou cobertura,359.9
Sliced breads,Honeys,cafe_da_manha,pão com pasta ou cobertura,262.7
Sliced breads,Margarines,cafe_da_manha,pão com pasta ou cobertura,383.6
Sliced breads,Sweet spreads,cafe_da_manha,pão com pasta ou cobertura,224.6
Sliced breads,Unsalted butters,cafe_da_manha,pão com pasta ou cobertura,382.3
Sliced breads,Milk powders,cafe_da_manha,pão com pasta ou cobertura,332.3
Sliced breads,Cocoa and chocolate powders,cafe_da_manha,pão com pasta ou cobertura,281.4
Sliced breads,Chocolate-powders,cafe_da_manha,pão com pasta ou cobertura,236.7
Wholemeal breads,Jams,cafe_da_manha,pão com pasta ou cobertura,200.8
Wholemeal breads,Butters,cafe_da_manha,pão com pasta ou cobertura,444.4
Wholemeal breads,Peanut butters,cafe_da_manha,pão com pasta ou cobertura,341.4
Wholemeal breads,Honeys,cafe_da_manha,pão com pasta ou cobertura,244.2
Wholemeal breads,Margarines,cafe_da_manha,pão com pasta ou cobertura,365.1
Wholemeal breads,Sweet spreads,cafe_da_manha,pão com pasta ou cobertura,206.1
Wholemeal breads,Unsalted butters,cafe_da_manha,pão com pasta ou cobertura,363.9
Wholemeal breads,Milk powders,cafe_da_manha,pão com pasta ou cobertura,313.9
Wholemeal breads,Cocoa and chocolate powders,cafe_da_manha,pão com pasta ou cobertura,262.9
Wholemeal breads,Chocolate-powders,cafe_da_manha,pão com pasta ou cobertura,218.2
Panettone,Jams,cafe_da_manha,pão com pasta ou cobertura,284.0
Panettone,Butters,cafe_da_manha,pão com pasta ou cobertura,527.6
Panettone,Peanut butters,cafe_da_manha,pão com pasta ou cobertura,424.6
Panettone,Honeys,cafe_da_manha,pão com pasta ou cobertura,327.4
Panettone,Margarines,cafe_da_manha,pão com pasta ou cobertura,448.2
Panettone,Sweet spreads,cafe_da_manha,pão com pasta ou cobertura,289.2
Panettone,Unsalted butters,cafe_da_manha,pão com pasta ou cobertura,447.0
Panettone,Milk powders,cafe_da_manha,pão com pasta ou cobertura,397.0
Panettone,Cocoa and chocolate powders,cafe_da_manha,pão com pasta ou cobertura,346.1
Panettone,Chocolate-powders,cafe_da_manha,pão com pasta ou cobertura,301.4
Sandwiches,Jams,cafe_da_manha,pão com pasta ou cobertura,219.6
Sandwiches,Butters,cafe_da_manha,pão com pasta ou cobertura,463.2
Sandwiches,Peanut butters,cafe_da_manha,pão com pasta ou cobertura,360.2
Sandwiches,Honeys,cafe_da_manha,pão com pasta ou cobertura,263.1
Sandwiches,Margarines,cafe_da_manha,pão com pasta ou cobertura,383.9
Sandwiches,Sweet spreads,cafe_da_manha,pão com pasta ou cobertura,224.9
Sandwiches,Unsalted butters,cafe_da_manha,pão com pasta ou cobertura,382.7
Sandwiches,Milk powders,cafe_da_manha,pão com pasta ou cobertura,332.6
Sandwiches,Cocoa and chocolate powders,cafe_da_manha,pão com pasta ou cobertura,281.7
Sandwiches,Chocolate-powders,cafe_da_manha,pão com pasta ou cobertura,237.0
Tapioca,Jams,cafe_da_manha,pão com pasta ou cobertura,221.6
Tapioca,Butters,cafe_da_manha,pão com pasta ou cobertura,465.2
Tapioca,Peanut butters,cafe_da_manha,pão com pasta ou cobertura,362.2
Tapioca,Honeys,cafe_da_manha,pão com pasta ou cobertura,265.1
Tapioca,Margarines,cafe_da_manha,pão com pasta ou cobertura,385.9
Tapioca,Sweet spreads,cafe_da_manha,pão com pasta ou cobertura,226.9
Tapioca,Unsalted butters,cafe_da_manha,pão com pasta ou cobertura,384.7
Tapioca,Milk powders,cafe_da_manha,pão com pasta ou cobertura,334.6
Tapioca,Cocoa and chocolate powders,cafe_da_manha,pão com pasta ou cobertura,283.7
Tapioca,Chocolate-powders,cafe_da_manha,pão com pasta ou cobertura,239.0
Crackers (Appetizers),Jams,cafe_da_manha,pão com pasta ou cobertura,308.4
Crackers (Appetizers),Butters,cafe_da_manha,pão com pasta ou cobertura,552.0
Crackers (Appetizers),Peanut butters,cafe_da_manha,pão com pasta ou cobertura,449.0
Crackers (Appetizers),Honeys,cafe_da_manha,pão com pasta ou cobertura,351.9
Crackers (Appetizers),Margarines,cafe_da_manha,pão com pasta ou cobertura,472.7
Crackers (Appetizers),Sweet spreads,cafe_da_manha,pão com pasta ou cobertura,313.7
Crackers (Appetizers),Unsalted butters,cafe_da_manha,pão com pasta ou cobertura,471.5
Crackers (Appetizers),Milk powders,cafe_da_manha,pão com pasta ou cobertura,421.4
Crackers (Appetizers),Cocoa and chocolate powders,cafe_da_manha,pão com pasta ou cobertura,370.5
Crackers (Appetizers),Chocolate-powders,cafe_da_manha,pão com pasta ou cobertura,325.8
Galletas,Jams,cafe_da_manha,pão com pasta ou cobertura,307.4
Galletas,Butters,cafe_da_manha,pão com pasta ou cobertura,551.0
Galletas,Peanut butters,cafe_da_manha,pão com pasta ou cobertura,448.0
Galletas,Honeys,cafe_da_manha,pão com pasta ou cobertura,350.8
Galletas,Margarines,cafe_da_manha,pão com pasta ou cobertura,471.7
Galletas,Sweet spreads,cafe_da_manha,pão com pasta ou cobertura,312.6
Galletas,Unsalted butters,cafe_da_manha,pão com pasta ou cobertura,470.4
Galletas,Milk powders,cafe_da_manha,pão com pasta ou cobertura,420.4
Galletas,Cocoa and chocolate powders,cafe_da_manha,pão com pasta ou cobertura,369.5
Galletas,Chocolate-powders,cafe_da_manha,pão com pasta ou cobertura,324.8
Cakes,Jams,cafe_da_manha,pão com pasta ou cobertura,269.0
Cakes,Butters,cafe_da_manha,pão com pasta ou cobertura,512.6
Cakes,Peanut butters,cafe_da_manha,pão com pasta ou cobertura,409.6
Cakes,Honeys,cafe_da_manha,pão com pasta ou cobertura,312.4
Cakes,Margarines,cafe_da_manha,pão com pasta ou cobertura,433.2
Cakes,Sweet spreads,cafe_da_manha,pão com pasta ou cobertura,274.2
Cakes,Unsalted butters,cafe_da_manha,pão com pasta ou cobertura,432.0
Cakes,Milk powders,cafe_da_manha,pão com pasta ou cobertura,382.0
Cakes,Cocoa and chocolate powders,cafe_da_manha,pão com pasta ou cobertura,331.1
Cakes,Chocolate-powders,cafe_da_manha,pão com pasta ou cobertura,286.4
Mueslis,Jams,cafe_da_manha,pão com pasta ou cobertura,281.8
Mueslis,Butters,cafe_da_manha,pão com pasta ou cobertura,525.4
Mueslis,Peanut butters,cafe_da_manha,pão com pasta ou cobertura,422.4
Mueslis,Honeys,cafe_da_manha,pão com pasta ou cobertura,325.1
Mueslis,Margarines,cafe_da_manha,pão com pasta ou cobertura,446.0
Mueslis,Sweet spreads,cafe_da_manha,pão com pasta ou cobertura,287.0
Mueslis,Unsalted butters,cafe_da_manha,pão com pasta ou cobertura,444.8
Mueslis,Milk powders,cafe_da_manha,pão com pasta ou cobertura,394.8
Mueslis,Cocoa and chocolate powders,cafe_da_manha,pão com pasta ou cobertura,343.8
Mueslis,Chocolate-powders,cafe_da_manha,pão com pasta ou cobertura,299.1
Breads,Coffees,cafe_da_manha,pão acompanhado de bebida,201.2
Breads,Teas,cafe_da_manha,pão acompanhado de bebida,129.3
Breads,Herbal teas,cafe_da_manha,pão acompanhado de bebida,126.5
Breads,Sweetened beverages,cafe_da_manha,pão acompanhado de bebida,163.5
Breads,Sodas,cafe_da_manha,pão acompanhado de bebida,152.6
Breads,Juices and nectars,cafe_da_manha,pão acompanhado de bebida,158.8
Breads,Fruit juices,cafe_da_manha,pão acompanhado de bebida,149.9
Breads,Orange juices,cafe_da_manha,pão acompanhado de bebida,154.2
Breads,Grape nectars,cafe_da_manha,pão acompanhado de bebida,153.3
Breads,Fruit nectars,cafe_da_manha,pão acompanhado de bebida,148.7
Breads,Coconut waters,cafe_da_manha,pão acompanhado de bebida,136.8
Breads,Energy drinks,cafe_da_manha,pão acompanhado de bebida,159.9
Breads,Beverages,cafe_da_manha,pão acompanhado de bebida,187.3
Breads,Beers,cafe_da_manha,pão acompanhado de bebida,155.6
Sliced breads,Coffees,cafe_da_manha,pão acompanhado de bebida,194.2
Sliced breads,Teas,cafe_da_manha,pão acompanhado de bebida,122.2
Sliced breads,Herbal teas,cafe_da_manha,pão acompanhado de bebida,119.5
Sliced breads,Sweetened beverages,cafe_da_manha,pão acompanhado de bebida,156.4
Sliced breads,Sodas,cafe_da_manha,pão acompanhado de bebida,145.6
Sliced breads,Juices and nectars,cafe_da_manha,pão acompanhado de bebida,151.8
Sliced breads,Fruit juices,cafe_da_manha,pão acompanhado de bebida,142.9
Sliced breads,Orange juices,cafe_da_manha,pão acompanhado de bebida,147.2
Sliced breads,Grape nectars,cafe_da_manha,pão acompanhado de bebida,146.3
Sliced breads,Fruit nectars,cafe_da_manha,pão acompanhado de bebida,141.6
Sliced breads,Coconut waters,cafe_da_manha,pão acompanhado de bebida,129.8
Sliced breads,Energy drinks,cafe_da_manha,pão acompanhado de bebida,152.8
Sliced breads,Beverages,cafe_da_manha,pão acompanhado de bebida,180.2
Sliced breads,Beers,cafe_da_manha,pão acompanhado de bebida,148.5
Wholemeal breads,Coffees,cafe_da_manha,pão acompanhado de bebida,175.8
Wholemeal breads,Teas,cafe_da_manha,pão acompanhado de bebida,103.8
Wholemeal breads,Herbal teas,cafe_da_manha,pão acompanhado de bebida,101.0
Wholemeal breads,Sweetened beverages,cafe_da_manha,pão acompanhado de bebida,138.0
Wholemeal breads,Sodas,cafe_da_manha,pão acompanhado de bebida,127.1
Wholemeal breads,Juices and nectars,cafe_da_manha,pão acompanhado de bebida,133.3
Wholemeal breads,Fruit juices,cafe_da_manha,pão acompanhado de bebida,124.5
Wholemeal breads,Orange juices,cafe_da_manha,pão acompanhado de bebida,128.8
Wholemeal breads,Grape nectars,cafe_da_manha,pão acompanhado de bebida,127.8
Wholemeal breads,Fruit nectars,cafe_da_manha,pão acompanhado de bebida,123.2
Wholemeal breads,Coconut waters,cafe_da_manha,pão acompanhado de bebida,111.3
Wholemeal breads,Energy drinks,cafe_da_manha,pão acompanhado de bebida,134.4
Wholemeal breads,Beverages,cafe_da_manha,pão acompanhado de bebida,161.8
Wholemeal breads,Beers,cafe_da_manha,pão acompanhado de bebida,130.1
Panettone,Coffees,cafe_da_manha,pão acompanhado de bebida,258.9
Panettone,Teas,cafe_da_manha,pão acompanhado de bebida,187.0
Panettone,Herbal teas,cafe_da_manha,pão acompanhado de bebida,184.2
Panettone,Sweetened beverages,cafe_da_manha,pão acompanhado de bebida,221.2
Panettone,Sodas,cafe_da_manha,pão acompanhado de bebida,210.2
Panettone,Juices and nectars,cafe_da_manha,pão acompanhado de bebida,216.4
Panettone,Fruit juices,cafe_da_manha,pão acompanhado de bebida,207.6
Panettone,Orange juices,cafe_da_manha,pão acompanhado de bebida,211.9
Panettone,Grape nectars,cafe_da_manha,pão acompanhado de bebida,211.0
Panettone,Fruit nectars,cafe_da_manha,pão acompanhado de bebida,206.3
Panettone,Coconut waters,cafe_da_manha,pão acompanhado de bebida,194.5
Panettone,Energy drinks,cafe_da_manha,pão acompanhado de bebida,217.6
Panettone,Beverages,cafe_da_manha,pão acompanhado de bebida,244.9
Panettone,Beers,cafe_da_manha,pão acompanhado de bebida,213.2
Sandwiches,Coffees,cafe_da_manha,pão acompanhado de bebida,194.6
Sandwiches,Teas,cafe_da_manha,pão acompanhado de bebida,122.6
Sandwiches,Herbal teas,cafe_da_manha,pão acompanhado de bebida,119.8
Sandwiches,Sweetened beverages,cafe_da_manha,pão acompanhado de bebida,156.8
Sandwiches,Sodas,cafe_da_manha,pão acompanhado de bebida,145.9
Sandwiches,Juices and nectars,cafe_da_manha,pão acompanhado de bebida,152.1
Sandwiches,Fruit juices,cafe_da_manha,pão acompanhado de bebida,143.2
Sandwiches,Orange juices,cafe_da_manha,pão acompanhado de bebida,147.6
Sandwiches,Grape nectars,cafe_da_manha,pão acompanhado de bebida,146.7
Sandwiches,Fruit nectars,cafe_da_manha,pão acompanhado de bebida,141.9
Sandwiches,Coconut waters,cafe_da_manha,pão acompanhado de bebida,130.1
Sandwiches,Energy drinks,cafe_da_manha,pão acompanhado de bebida,153.2
Sandwiches,Beverages,cafe_da_manha,pão acompanhado de bebida,180.6
Sandwiches,Beers,cafe_da_manha,pão acompanhado de bebida,148.8
Tapioca,Coffees,cafe_da_manha,pão acompanhado de bebida,196.6
Tapioca,Teas,cafe_da_manha,pão acompanhado de bebida,124.6
Tapioca,Herbal teas,cafe_da_manha,pão acompanhado de bebida,121.8
Tapioca,Sweetened beverages,cafe_da_manha,pão acompanhado de bebida,158.8
Tapioca,Sodas,cafe_da_manha,pão acompanhado de bebida,147.9
Tapioca,Juices and nectars,cafe_da_manha,pão acompanhado de bebida,154.1
Tapioca,Fruit juices,cafe_da_manha,pão acompanhado de bebida,145.2
Tapioca,Orange juices,cafe_da_manha,pão acompanhado de bebida,149.6
Tapioca,Grape nectars,cafe_da_manha,pão acompanhado de bebida,148.7
Tapioca,Fruit nectars,cafe_da_manha,pão acompanhado de bebida,143.9
Tapioca,Coconut waters,cafe_da_manha,pão acompanhado de bebida,132.1
Tapioca,Energy drinks,cafe_da_manha,pão acompanhado de bebida,155.2
Tapioca,Beverages,cafe_da_manha,pão acompanhado de bebida,182.6
Tapioca,Beers,cafe_da_manha,pão acompanhado de bebida,150.8
Crackers (Appetizers),Coffees,cafe_da_manha,pão acompanhado de bebida,283.4
Crackers (Appetizers),Teas,cafe_da_manha,pão acompanhado de bebida,211.4
Crackers (Appetizers),Herbal teas,cafe_da_manha,pão acompanhado de bebida,208.6
Crackers (Appetizers),Sweetened beverages,cafe_da_manha,pão acompanhado de bebida,245.6
Crackers (Appetizers),Sodas,cafe_da_manha,pão acompanhado de bebida,234.7
Crackers (Appetizers),Juices and nectars,cafe_da_manha,pão acompanhado de bebida,240.9
Crackers (Appetizers),Fruit juices,cafe_da_manha,pão acompanhado de bebida,232.0
Crackers (Appetizers),Orange juices,cafe_da_manha,pão acompanhado de bebida,236.3
Crackers (Appetizers),Grape nectars,cafe_da_manha,pão acompanhado de bebida,235.4
Crackers (Appetizers),Fruit nectars,cafe_da_manha,pão acompanhado de bebida,230.8
Crackers (Appetizers),Coconut waters,cafe_da_manha,pão acompanhado de bebida,218.9
Crackers (Appetizers),Energy drinks,cafe_da_manha,pão acompanhado de bebida,242.0
Crackers (Appetizers),Beverages,cafe_da_manha,pão acompanhado de bebida,269.4
Crackers (Appetizers),Beers,cafe_da_manha,pão acompanhado de bebida,237.7
Galletas,Coffees,cafe_da_manha,pão acompanhado de bebida,282.3
Galletas,Teas,cafe_da_manha,pão acompanhado de bebida,210.4
Galletas,Herbal teas,cafe_da_manha,pão acompanhado de bebida,207.6
Galletas,Sweetened beverages,cafe_da_manha,pão acompanhado de bebida,244.6
Galletas,Sodas,cafe_da_manha,pão acompanhado de bebida,233.7
Galletas,Juices and nectars,cafe_da_manha,pão acompanhado de bebida,239.9
Galletas,Fruit juices,cafe_da_manha,pão acompanhado de bebida,231.0
Galletas,Orange juices,cafe_da_manha,pão acompanhado de bebida,235.3
Galletas,Grape nectars,cafe_da_manha,pão acompanhado de bebida,234.4
Galletas,Fruit nectars,cafe_da_manha,pão acompanhado de bebida,229.7
Galletas,Coconut waters,cafe_da_manha,pão acompanhado de bebida,217.9
Galletas,Energy drinks,cafe_da_manha,pão acompanhado de bebida,241.0
Galletas,Beverages,cafe_da_manha,pão acompanhado de bebida,268.4
Galletas,Beers,cafe_da_manha,pão acompanhado de bebida,236.6
Cakes,Coffees,cafe_da_manha,pão acompanhado de bebida,243.9
Cakes,Teas,cafe_da_manha,pão acompanhado de bebida,172.0
Cakes,Herbal teas,cafe_da_manha,pão acompanhado de bebida,169.2
Cakes,Sweetened beverages,cafe_da_manha,pão acompanhado de bebida,206.2
Cakes,Sodas,cafe_da_manha,pão acompanhado de bebida,195.2
Cakes,Juices and nectars,cafe_da_manha,pão acompanhado de bebida,201.4
Cakes,Fruit juices,cafe_da_manha,pão acompanhado de bebida,192.6
Cakes,Orange juices,cafe_da_manha,pão acompanhado de bebida,196.9
Cakes,Grape nectars,cafe_da_manha,pão acompanhado de bebida,196.0
Cakes,Fruit nectars,cafe_da_manha,pão acompanhado de bebida,191.3
Cakes,Coconut waters,cafe_da_manha,pão acompanhado de bebida,179.5
Cakes,Energy drinks,cafe_da_manha,pão acompanhado de bebida,202.6
Cakes,Beverages,cafe_da_manha,pão acompanhado de bebida,229.9
Cakes,Beers,cafe_da_manha,pão acompanhado de bebida,198.2
Mueslis,Coffees,cafe_da_manha,pão acompanhado de bebida,256.6
Mueslis,Teas,cafe_da_manha,pão acompanhado de bebida,184.7
Mueslis,Herbal teas,cafe_da_manha,pão acompanhado de bebida,181.9
Mueslis,Sweetened beverages,cafe_da_manha,pão acompanhado de bebida,218.9
Mueslis,Sodas,cafe_da_manha,pão acompanhado de bebida,208.0
Mueslis,Juices and nectars,cafe_da_manha,pão acompanhado de bebida,214.2
Mueslis,Fruit juices,cafe_da_manha,pão acompanhado de bebida,205.3
Mueslis,Orange juices,cafe_da_manha,pão acompanhado de bebida,209.7
Mueslis,Grape nectars,cafe_da_manha,pão acompanhado de bebida,208.8
Mueslis,Fruit nectars,cafe_da_manha,pão acompanhado de bebida,204.1
